id,date,airport_code,airport_name,airport_province,location,region,latitude,longitude,incident_type,reportable_incident,incident_country,serious_incident,damage,total_injured,total_uninjured,aircraft_id,aircraft_type,aircraft_model,aircraft_make,organization,operator_type,operation_type,destination_airport_code,destination_airport_name,departure_airport_code,departure_airport_name
125335,2006-04-05 10:24:00,YVR,Vancouver Intl,BRITISH COLUMBIA,Vancouver,PACIFIC,49.2,123.18333333,SMOKE OR FIRE (iii),INCIDENT REPORTABLE,CANADA,No,NONE,0,99,87902,AEROPLANE,A319-100,AIRBUS,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YVR,Vancouver Intl,YWG,James Armstrong Richardson Intl
125334,2006-04-06 19:00:00,YVR,Vancouver Intl,BRITISH COLUMBIA,Vancouver,PACIFIC,49.2,123.18333333,SMOKE OR FIRE (iii),INCIDENT REPORTABLE,CANADA,No,NONE,0,139,92042,AEROPLANE,A320-200,AIRBUS,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YVR,Vancouver Intl,YOW,MacDonald-Cartier Intl
125320,2006-04-10 22:00:00,YUL,Pierre Elliott Trudeau Intl,QUEBEC,Montreal,QUEBEC,45.46666667,73.73333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,95,92384,AEROPLANE,A319-100,AIRBUS,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YYT,ST. JOHN'S INTL,YUL,Pierre Elliott Trudeau Intl
125300,2006-04-09 10:52:00,YRQ,TROIS-RIVIÈRES,QUEBEC,TROIS-RIVIÈRES,QUEBEC,46.35,72.68333333,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,1,108829,AEROPLANE,7GCBC,BELLANCA (AERONCA),PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,YRQ,TROIS-RIVIÈRES,YRQ,TROIS-RIVIÈRES
125281,2006-04-05 18:43:00,YVR,Vancouver Intl,BRITISH COLUMBIA,Vancouver,PACIFIC,49.2,123.18333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,5,106315,AEROPLANE,1900C,BEECH,PACIFIC COASTAL AIRLINES,COMMERCIAL,AIR TRANSPORT,YVR,Vancouver Intl,YQQ,COMOX
125280,2006-04-04 16:30:00,TT5,LA ROMAINE,QUEBEC,LA ROMAINE,QUEBEC,50.26666667,60.66666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,2,91378,AEROPLANE,200,BEECH,AIR MECATINA,COMMERCIAL,AIR TRANSPORT,YNA,NATASHQUAN,TT5,LA ROMAINE
125265,2006-02-28 09:35:00,YUL,Pierre Elliott Trudeau Intl,QUEBEC,Montreal,QUEBEC,45.46666667,73.73333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,31,87114,AEROPLANE,DHC-8-100,DE HAVILLAND,JAZZ AVIATION LP,COMMERCIAL,AIR TRANSPORT,YQB,Jean Lesage Intl,YUL,Pierre Elliott Trudeau Intl
125246,2006-04-01 12:50:00,YQM,Greater Moncton Romeo Lebalnc Intl,NEW BRUNSWICK,Moncton,ATLANTIC,46.11666667,64.68333333,SMOKE OR FIRE (iii),INCIDENT REPORTABLE,CANADA,No,NONE,0,19,98599,AEROPLANE,CL-600-2B19 (CRJ),CANADAIR,JAZZ AVIATION LP,COMMERCIAL,AIR TRANSPORT,YQM,Greater Moncton Romeo Lebalnc Intl,YYZ,Lester B. Pearson Intl
125240,2006-03-27 07:10:00,YYZ,Lester B. Pearson Intl,ONTARIO,Toronto,ONTARIO,43.68333333,79.63333333,SMOKE OR FIRE (iii),INCIDENT REPORTABLE,CANADA,No,NONE,0,44,108357,AEROPLANE,CL-600-2D15 (RJ705),CANADAIR,JAZZ AVIATION LP,COMMERCIAL,AIR TRANSPORT,YWG,James Armstrong Richardson Intl,YOW,MacDonald-Cartier Intl
125239,2006-03-30 22:36:00,YUL,Pierre Elliott Trudeau Intl,QUEBEC,Montreal,QUEBEC,45.46666667,73.73333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,146,51085,AEROPLANE,A320-200,AIRBUS,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YUL,Pierre Elliott Trudeau Intl,YYZ,Lester B. Pearson Intl
